Bin#,Source,SKU,Item,Base Price,COGS,Date Listed,Year Month Listed,Platform Sold,Gross Sales,Platform Fee,Shipping,Gross Profit,Net Profit,Date Sold,Year Month Sold,Age of Listing
13,Closet,A0037,Old Navy Pixie Chino Tan Shorts,$0.00 ,$5.05 ,9/19/2019,20199,Poshmark,$8.00 ,$2.95 ,$0.00 ,$5.05 ,$0.00 ,5/4/2022,20225,958
14,Closet,A0043,Coral infinity scarf,$0.00 ,$0.00 ,1/20/2020,20201,,,,,,,,,946
14,Closet,A0046,Black lightweight infinity scarf,$0.00 ,$0.00 ,1/20/2020,20201,Poshmark,$8.00 ,$2.95 ,$0.00 ,$5.05 ,$5.05 ,6/6/2022,20226,868
14,Closet,A0048,Grey patterned infinity scarf,$0.00 ,$0.00 ,1/21/2020,20201,,,,,,,,,945
14,Closet,A0049,Red knit scarf,$0.00 ,$0.00 ,1/21/2020,20201,,,,,,,,,945
14,Closet,A0056,Green & white scarf,$0.00 ,$0.00 ,1/20/2020,20201,,,,,,,,,946
3,Closet,A0058,Francesca's Miami Floral Blouse,$0.00 ,$0.00 ,2/1/2019,20192,,,,,,,,,1299
12-Nov,Closet,A0070,Banana Republic Dress,$0.00 ,$0.00 ,9/19/2019,20199,,,,,,,,,1069
13,Closet,A0076,Express Button Front Shorts,$0.00 ,$0.00 ,9/17/2019,20199,,,,,,,,,1071
3,Garage Sale,A0088,Navy chiffon tunic cold shoulder sleeves,$2.50 ,$2.50 ,9/14/2019,20199,,,,,,,,,1074
7,Garage Sale,A0090,Umgee Boho Pink cold shoulder blouse,$2.50 ,$2.50 ,9/14/2019,20199,,,,,,,,,1074
12-Nov,Texas Thrift Store,A0104,Vintage chambray button up dress,$1.98 ,$2.14 ,4/4/2021,20214,Poshmark,$30.00 ,$6.00 ,$0.00 ,$24.00 ,$21.86 ,6/7/2022,20226,429
7,Texas Thrift Store,A0121,GAP Fitted Boyfriend Long Sleeve Button Down Up,$2.49 ,$2.70 ,11/20/2019,201911,,,,,,,,,1007
5,Texas Thrift Store,A0123,Poetry white blouse with black cross design,$1.49 ,$1.61 ,11/13/2019,201911,,,,,,,,,1014
5,Texas Thrift Store,A0132,love FIRE blue and orange floral button up tank,$2.09 ,$2.26 ,11/13/2019,201911,,,,,,,,,1014
5,Texas Thrift Store,A0134,BKE Grey long sleeve distressed top,$2.98 ,$3.23 ,7/12/2021,,,,,,,,,,407
3,Texas Thrift Store,A0140,Joie Silk Acacia Dolman Top Striped Neon,$0.99 ,$1.07 ,11/12/2019,201911,,,,,,,,,1015
12-Nov,Texas Thrift Store,A0146,J. Crew Chambray denim short sleeved dress,$0.99 ,$1.07 ,11/21/2019,201911,,,,,,,,,1006
7,Texas Thrift Store,A0154,Urban Outfitters X Alternative Apparel Graphic Tee Donkey,$0.99 ,$1.07 ,7/11/2021,20217,,,,,,,,,408
2,Closet,A0156,Lucky Brand Orange Navy Cream Print Long Sleeve Top,$0.00 ,$0.00 ,2/1/2019,20192,,,,,,,,,1299
3,Garage Sale,A0162,Hollister Semi Cropped Blouse,$2.00 ,$2.00 ,4/5/2021,20214,,,,,,,,,505
12-Nov,Closet,A0176,Rampage Black Bodycon Strappy Cocktail Dress,$0.00 ,$0.00 ,11/13/2019,201911,,,,,,,,,1014
10-Sep,Texas Thrift Store,A0183,7 for all Mankind Dark Wash Bootcut Jeans,$0.99 ,$1.07 ,11/15/2019,201911,,,,,,,,,1012
4,Closet,A0187,Poetry Aztec Top,$0.00 ,$0.00 ,9/14/2019,20199,,,,,,,,,1074
10-Sep,Texas Thrift Store,A0219,Ann Taylor Loft Curvy Boot Jeans,$2.50 ,$2.71 ,11/23/2019,201911,,,,,,,,,1004
10-Sep,Texas Thrift Store,A0221,GAP Curvy Flare Jeans,$2.50 ,$2.71 ,11/23/2019,201911,,,,,,,,,1004
